x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1
0,0,0,0,1098,349,294,0,0.17499026255629
0,0,0,0,1143,349,312,0,0.165257960969171
0,0,0,0,1088,349,319,0,0.175251726938694
0,0,0,0,1206,349,233,0,0.162477065472121
0,0,0,0,1187,349,295,0,0.166302865737868
0,0,0,0,1182,349,311,0,0.166302865737868
0,0,0,0,1169,349,307,0,0.165433078547069
0,0,0,0,1239,349,299,0,0.1543275804426
0,0,0,0,1247,349,305,0,0.15985763182885
0,0,0,0,1291,349,275,0,0.148957858201577
0,0,0,0,1219,349,351,0,0.148957858201577
0,0,0,0,1258,349,289,0,0.144551373288498
0,0,0,0,1225,349,346,0,0.144551373288498
0,0,0,0,1276,349,349,0,0.1542785648035
0,0,0,0,1217,349,333,0,0.138827470526098
0,0,0,0,1252,349,366,0,0.138827470526098
0,0,0,0,1255,349,345,0,0.148647700799469
0,0,0,0,1235,349,395,0,0.136958671341146
0,0,0,0,1211,349,394,0,0.13826519137697
0,0,0,0,1278,349,380,0,0.131373853885056
0,0,0,0,1243,349,369,0,0.131373853885056
0,0,0,0,1315,349,411,0,0.130854157307626
0,0,0,0,1290,349,367,0,0.130854157307626
0,0,0,0,1236,349,432,0,0.133640537132056
0,0,0,0,1268,349,415,0,0.145063497592561
0,0,0,0,1280,349,412,0,0.145063497592561
0,0,0,0,1247,349,416,0,0.136982434890156
0,0,0,0,1284,349,427,0,0.136982434890156
0,0,0,0,1334,349,456,0,0.136982434890156
0,0,0,0,1268,349,472,0,0.127154301309759
0,0,0,0,1318,349,445,0,0.125948609664469
0,0,0,0,1312,349,470,0,0.120603435219561
-63,349,22,0,1245,349,438,0,0.124707292496903
-91,349,39,0,1314,349,483,0,0.132238004609819
-86,349,61,0,1254,349,482,0,0.19613656600776
-88,349,79,0,1243,349,510,0,0.182274289026255
-69,349,104,0,1250,349,531,0,0.182274289026255
-56,349,129,0,1311,349,594,0,0.17000736167606
-41,349,155,0,1231,349,551,0,0.156957928251365
-19,349,185,0,1337,349,651,0,0.139287926096138
-8,349,211,0,1309,349,643,0,0.126003706369561
11,349,234,0,1343,349,697,0,0.104525496672855
